"srs_pcv.failure","srs_bacto.fails.risk.factor","srs_icc","srs_tcc","srs_sample.month","wtw_manganese.removal","wtw_phosphate.dosing","srs_total.risk.factor","srs_fails_in_any_previous_year","srs_aow","srs_free.chlorine","srs_fails_in_previous_year","srs_ooa","srs_total.chlorine","srs_stor_vol","wtw_hypo"
0,1,44,124,3,0,1,49.25,0,5.823536837,0.517706438,0,2,0.617706438,4.507706438,1
0,1,84,204,3,0,1,49.25,0,5.819384457,0.493554058,0,2,0.603554058,4.503554058,1
0,1,393,1393,3,0,1,49.25,0,5.880109948,0.594279549,0,2,0.684279549,4.564279549,1
0,1,37,197,4,0,1,49.25,0,5.908691919,0.66286152,0,2,0.76286152,4.59286152,1
0,1,72,552,5,0,1,49.25,0,5.875639641,0.569809242,0,2,0.659809242,4.559809242,1
0,1,116,436,5,0,1,49.25,0,5.871920474,0.656090075,0,2,0.746090075,4.556090075,1
0,1,230,350,5,0,1,49.25,0,5.868433171,0.672602772,0,2,0.742602772,4.552602772,1
0,1,250,330,6,0,1,49.25,0,5.914339921,0.728509522,0,2,0.788509522,4.598509522,1
0,1,431,751,6,0,1,49.25,0,5.866594581,0.480764182,0,2,0.580764182,4.550764182,1
0,1,5750,6350,7,0,1,49.25,0,5.884109207,0.328278808,0,2,0.428278808,4.568278808,1
0,1,67516,45556,7,0,1,49.25,0,5.875984521,0.150154122,0,2,0.220154122,4.560154122,1
0,1,62752,78752,8,0,1,49.25,0,5.839717267,0.103886868,0,2,0.183886868,4.523886868,1
0,1,22846,34766,8,0,1,49.25,0,5.841646991,0.345816593,0,2,0.435816593,4.525816593,1
0,1,23115,26595,9,0,1,49.25,0,5.888761361,0.352930962,0,2,0.452930962,4.572930962,1
0,1,50270,127990,9,0,1,49.25,0,5.861087482,0.075257083,0,2,0.165257083,4.545257083,1
0,1,10846,34766,10,0,1,49.25,0,5.833343076,0.267512677,0,2,0.337512677,4.517512677,1
0,1,10723,21723,10,0,1,49.25,0,5.890500226,0.344669827,0,2,0.444669827,4.574669827,1
0,1,9444,15364,10,0,1,49.25,0,5.826329163,0.300498764,0,2,0.410498764,4.510498764,1
0,1,3955,3915,11,0,1,49.25,0,5.902284894,0.456454495,0,2,0.586454495,4.586454495,1
0,1,648,608,11,0,1,49.25,0,5.877294896,0.471464497,0,2,0.531464497,4.561464497,1
0,1,367,487,12,0,1,49.25,0,5.871546353,0.495715954,0,2,0.665715954,4.555715954,1
0,1,78,38,12,0,1,49.25,0,5.848708131,0.482877732,0,2,0.632877732,4.532877732,1
0,1,164,324,1,0,1,49.25,0,5.861143543,0.465313145,0,2,0.655313145,4.545313145,1
0,1,30,30,1,0,1,49.25,0,5.865874496,0.690044097,0,2,0.690044097,4.550044097,1
0,1,552,50392,2,0,1,49.25,0,5.833917035,0.598086636,0,2,0.678086636,4.518086636,1
0,1,-1,39,2,0,1,49.25,0,5.868793459,0.61296306,0,2,0.73296306,4.55296306,1
0,1,84,164,3,0,1,49.25,0,5.823357973,0.487527575,0,2,0.637527575,4.507527575,1
0,1,35,915,3,0,1,49.25,0,5.843605992,0.527775593,0,2,0.637775593,4.527775593,1
0,1,74,474,4,0,1,49.25,0,5.837100351,0.321269952,0,2,0.431269952,4.521269952,1
0,1,443,1683,4,0,1,49.25,0,5.844309447,0.278479048,0,2,0.348479048,4.528479048,1
0,1,833,3313,4,0,1,49.25,0,5.905339809,0.31950941,0,2,0.39950941,4.58950941,1
0,1,4796,13796,5,0,1,49.25,0,5.860453931,0.184623532,0,2,0.274623532,4.544623532,1
0,1,10245,22805,5,0,1,49.25,0,5.893828888,0.287998489,0,2,0.417998489,4.577998489,1
0,1,25366,36806,6,0,1,49.25,0,5.903892302,0.288061903,0,2,0.368061903,4.588061903,1
0,1,35273,35633,6,0,1,49.25,0,5.85714282,0.301312421,0,2,0.411312421,4.541312421,1
0,2,98,398,4,0,1,44.4,1,1.10166865,0.376380848,1,2,0.426380848,0.428380848,0
0,2,864,1304,1,0,1,44.4,1,1.128836551,0.493548749,0,2,0.583548749,0.455548749,0
0,2,410,770,1,0,1,44.4,1,1.167660397,0.382372595,0,2,0.452372595,0.494372595,0
0,2,4606,4866,1,0,1,44.4,1,1.129049335,0.363761533,0,2,0.453761533,0.455761533,0
0,2,1007,1127,1,0,1,44.4,1,1.158329214,0.503041412,0,2,0.643041412,0.485041412,0
0,2,330,870,2,0,1,44.4,1,1.179349257,0.464061455,0,2,0.554061455,0.506061455,0
0,2,494,1254,2,0,1,44.4,1,1.180900968,0.435613166,0,2,0.575613166,0.507613166,0
0,2,286,626,2,0,1,44.4,1,1.13442373,0.339135928,0,2,0.379135928,0.461135928,0
0,2,541,3181,2,0,1,44.4,1,1.133337191,0.338049389,0,2,0.428049389,0.460049389,0
0,2,407,22367,3,0,1,44.4,1,1.184832345,0.299544543,0,2,0.379544543,0.511544543,0
0,2,613,933,3,0,1,44.4,1,1.159719378,0.414431576,0,2,0.544431576,0.486431576,0
0,2,889,1909,3,0,1,44.4,1,1.169395667,0.564107865,0,2,0.644107865,0.496107865,0
0,2,97,397,3,0,1,44.4,1,1.155818147,0.370530345,0,2,0.450530345,0.482530345,0
0,2,480,900,3,0,1,44.4,1,1.185595963,0.430308161,0,2,0.550308161,0.512308161,0
0,2,126,266,4,0,1,44.4,1,1.124660817,0.439373016,0,2,0.519373016,0.451373016,0
0,2,175,355,4,0,1,44.4,1,1.114413813,0.219126011,0,2,0.289126011,0.441126011,0
0,2,180,380,4,0,1,44.4,1,1.183932896,0.688645094,0,2,0.738645094,0.510645094,0
0,2,99,619,4,0,1,44.4,1,1.145621751,0.520333949,0,2,0.630333949,0.472333949,0
0,2,211,251,5,0,1,44.4,1,1.182993556,0.677705754,0,2,0.697705754,0.509705754,0
0,2,83,203,5,0,1,44.4,1,1.171098107,0.355810305,0,2,0.395810305,0.497810305,0
0,2,209,49,5,0,1,44.4,1,1.167737691,0.412449889,0,2,0.462449889,0.494449889,0
0,2,166,326,6,0,1,44.4,1,1.189660284,0.364372482,0,2,0.394372482,0.516372482,0
0,2,120,360,6,0,1,44.4,1,1.150052461,0.364764659,0,2,0.434764659,0.476764659,0
0,2,283,203,6,0,1,44.4,1,1.166462189,0.411174387,0,2,0.441174387,0.493174387,0
0,2,1355,475,6,0,1,44.4,1,1.134178312,0.34889051,0,2,0.40889051,0.46089051,0
0,2,394,674,7,0,1,44.4,1,1.105375115,0.300087313,0,2,0.350087313,0.432087313,0
0,2,564,484,7,0,1,44.4,1,1.188018011,0.452730209,0,2,0.542730209,0.514730209,0
0,2,357,277,7,0,1,44.4,1,1.123611052,0.38832325,0,2,0.43832325,0.45032325,0
0,2,285,485,7,0,1,44.4,1,1.154345118,0.429057316,0,2,0.479057316,0.481057316,0
0,2,886,1046,8,0,1,44.4,1,1.106323862,0.42103606,0,2,0.45103606,0.43303606,0
0,2,930,1810,8,0,1,44.4,1,1.179338505,0.404050703,0,2,0.454050703,0.506050703,0
0,2,443,1043,8,0,1,44.4,1,1.12708417,0.511796368,0,2,0.571796368,0.453796368,0
0,2,1129,33369,8,0,1,44.4,1,1.173572936,0.358285134,0,2,0.428285134,0.500285134,0
0,2,681,921,9,0,1,44.4,1,1.122038623,0.396750821,0,2,0.546750821,0.448750821,0
0,2,317,677,9,0,1,44.4,1,1.11715233,0.421864528,0,2,0.501864528,0.443864528,0
0,2,683,1843,9,0,1,44.4,1,1.146967486,0.291679684,0,2,0.351679684,0.473679684,0
0,2,284,364,9,0,1,44.4,1,1.122182861,0.446895059,0,2,0.516895059,0.448895059,0
0,2,38,2118,9,0,1,44.4,1,1.113404635,0.348116833,0,2,0.448116833,0.440116833,0
0,2,126,286,10,0,1,44.4,1,1.147145416,0.451857614,0,2,0.531857614,0.473857614,0
0,2,311,391,10,0,1,44.4,1,1.151566096,0.336278294,0,2,0.376278294,0.478278294,0
0,2,272,432,10,0,1,44.4,1,1.120924562,0.36563676,0,2,0.44563676,0.44763676,0
0,2,352,392,11,0,1,44.4,1,1.16708133,0.771793528,0,2,0.921793528,0.493793528,0
0,2,271,551,11,0,1,44.4,1,1.191428796,0.586140994,0,2,0.636140994,0.518140994,0
0,2,166,446,11,0,1,44.4,1,1.105301887,0.410014085,0,2,0.440014085,0.432014085,0
0,2,152,672,11,0,1,44.4,1,1.171610071,0.886322269,0,2,0.996322269,0.498322269,0
0,2,78,238,12,0,1,44.4,1,1.177151271,0.451863469,0,2,0.521863469,0.503863469,0
0,2,204,604,12,0,1,44.4,1,1.126117035,0.480829233,0,2,0.510829233,0.452829233,0
0,2,193,553,12,0,1,44.4,1,1.160245748,0.374957946,0,2,0.454957946,0.486957946,0
0,2,354,674,12,0,1,44.4,1,1.190623347,0.515335545,0,2,0.545335545,0.517335545,0
0,2,838,1238,5,0,1,44.4,1,1.190661067,0.475373265,0,2,0.505373265,0.517373265,0
0,2,2395,3835,6,0,1,44.4,1,1.129285722,0.30399792,0,2,0.33399792,0.45599792,0
0,2,1489,1569,6,0,1,44.4,1,1.121535213,0.406247411,0,2,0.446247411,0.448247411,0
0,1,96,436,4,0,1,42.65,0,5.681842068,0.381785626,0,4,0.431785626,4.586785626,0
0,1,151,711,3,0,1,42.65,0,5.725456592,0.43540015,0,4,0.46540015,4.63040015,0
0,1,405,1285,7,0,1,42.65,0,5.67477951,0.464723068,0,4,0.484723068,4.579723068,0
0,1,157,557,11,0,1,42.65,0,5.653200674,0.333144232,0,4,0.363144232,4.558144232,0
0,1,-4,236,11,0,1,42.65,0,5.677505128,0.247448686,0,4,0.277448686,4.582448686,0
0,1,75,195,12,0,1,42.65,0,5.703198465,0.423142023,0,4,0.513142023,4.608142023,0
0,1,45,245,12,0,1,42.65,0,5.679064335,0.359007893,0,4,0.459007893,4.584007893,0
0,1,117,237,1,0,1,42.65,0,5.709019227,0.468962785,0,4,0.508962785,4.613962785,0
0,1,70,390,1,0,1,42.65,0,5.708997783,0.628941341,0,4,0.708941341,4.613941341,0
0,1,123,7843,2,0,1,42.65,0,5.695546504,0.705490062,0,4,0.755490062,4.600490062,0
0,1,196,156,2,0,1,42.65,0,5.683018883,0.622962441,0,4,0.652962441,4.587962441,0
0,1,47,167,3,0,1,42.65,0,5.685328448,0.755272006,0,4,0.785272006,4.590272006,0
0,1,270,470,3,0,1,42.65,0,5.670700768,0.670644326,0,4,0.760644326,4.575644326,0
0,1,209,289,3,0,1,42.65,0,5.697891836,0.347835394,0,4,0.437835394,4.602835394,0
0,1,150,830,5,0,1,42.65,0,5.731093472,0.33103703,0,4,0.37103703,4.63603703,0
0,1,117,277,5,0,1,42.65,0,5.65431685,0.464260408,0,4,0.494260408,4.559260408,0
0,1,490,1410,6,0,1,42.65,0,5.681561204,0.441504763,0,4,0.501504763,4.586504763,0
0,1,41,601,6,0,1,42.65,0,5.661149017,0.361092575,0,4,0.421092575,4.566092575,0
0,1,204,604,6,0,1,42.65,0,5.682931479,0.372875037,0,4,0.442875037,4.587875037,0
0,1,636,1916,7,0,1,42.65,0,5.653325439,0.443268998,0,4,0.503268998,4.558268998,0
0,1,488,1368,7,0,1,42.65,0,5.686066087,0.286009645,0,4,0.426009645,4.591009645,0
0,1,319,799,8,0,1,42.65,0,5.734352148,0.364295706,0,4,0.424295706,4.639295706,0
0,1,328,648,9,0,1,42.65,0,5.716253828,0.426197386,0,4,0.546197386,4.621197386,0
0,1,314,554,9,0,1,42.65,0,5.733347425,0.683290983,0,4,0.753290983,4.638290983,0
0,1,359,439,10,0,1,42.65,0,5.687124292,0.47706785,0,4,0.47706785,4.59206785,0
0,1,123,243,10,0,1,42.65,0,5.700415249,0.820358807,0,4,0.900358807,4.605358807,0
0,1,170,450,10,0,1,42.65,0,5.68855541,0.438498968,0,4,0.498498968,4.593498968,0
0,1,241,681,11,0,1,42.65,0,5.650937074,0.370880632,0,4,0.430880632,4.555880632,0
0,1,401,321,11,0,1,42.65,0,5.664829125,0.404772683,0,4,0.484772683,4.569772683,0
0,1,4,364,12,0,1,42.65,0,5.689907895,0.369851453,0,4,0.419851453,4.594851453,0
0,1,113,313,12,0,1,42.65,0,5.677343113,0.477286671,0,4,0.557286671,4.582286671,0
0,1,198,2198,1,0,1,42.65,0,5.733525579,0.473469137,0,4,0.613469137,4.638469137,0
0,1,38,118,2,0,1,42.65,0,5.69245505,0.512398608,0,4,0.562398608,4.597398608,0
0,1,156,36,2,0,1,42.65,0,5.671770909,0.471714467,0,4,0.521714467,4.576714467,0
0,1,205,5,2,0,1,42.65,0,5.667853045,0.287796603,0,4,0.307796603,4.572796603,0
0,1,30,150,3,0,1,42.65,0,5.718810493,0.508754051,0,4,0.568754051,4.623754051,0
0,1,33,153,3,0,1,42.65,0,5.710302693,0.520246251,0,4,0.570246251,4.615246251,0
0,1,36,116,4,0,1,42.65,0,5.656559206,0.326502764,0,4,0.406502764,4.561502764,0
0,1,118,318,4,0,1,42.65,0,5.646502196,0.316445754,0,4,0.366445754,4.551445754,0
0,1,48,88,5,0,1,42.65,0,5.715527004,0.405470562,0,4,0.495470562,4.620470562,0
0,1,80,400,6,0,1,42.65,0,5.702097445,0.462041003,0,4,0.522041003,4.607041003,0
0,1,191,551,6,0,1,42.65,0,5.657014119,0.286957677,0,4,0.356957677,4.561957677,0
0,1,319,399,6,0,1,42.65,0,5.646277847,0.246221405,0,4,0.306221405,4.551221405,0
0,1,5134,839774,2,0,1,37,0,2.861864085,0.060902927,0,2,1.030902927,6.760902927,0
